Number,Title,Mood,Length,Familiarity,Limited,Easter,Patriotic,Pioneer,Thanksgiving,Christmas,NewYear,Sacrament,Fasting,Closing,Dismiss
85,How Firm a Foundation,With dignity,6,5,,,,x,,,,,,,
86,How Great Thou Art*,Reverently,5,4,,,,,,,,,,,
87,God Is Love,Gently,3,3,,,,,,,,,,,
88,"Great God, Attend While Zion Sings",Solemnly,4,1,,,,,,,,,,,
89,The Lord Is My Light,Resolutely,4,5,,,,,,,,,,,
90,From All That Dwell below the Skies,Joyfully,2,1,,,,,,,,,,,
91,"Father, Thy Children to Thee Now Raise",Energetically,3,3,,,,,x,,,,,,
92,For the Beauty of the Earth,Joyfully,2,5,,,,,x,,,,,,x
93,Prayer of Thanksgiving,Joyfully,2,3,,,,,x,,,,,,
94,"Come, Ye Thankful People",Energetically,2,4,,,,,x,,,,,,
95,Now Thank We All Our God,With dignity,2,2,,,,,x,,,,,,
96,"Dearest Children, God Is Near You",Gently,3,3,,,,,,,,,,,
97,"Lead, Kindly Light",Prayerfully,3,4,,,,,,,,,,,
98,I Need Thee Every Hour,Fervently,4,5,,,,,,,,,,,
99,"Nearer, Dear Savior, to Thee",Prayerfully,4,4,,,,,,,,,,,
100,"Nearer, My God, to Thee",Gently,5,4,,,,,,,,,,,
101,Guide Me to Thee,Fervently,4,3,,,,,,,,,,,
102,"Jesus, Lover of My Soul",Reverently,2,4,,,,,,,,,,,
103,"Precious Savior, Dear Redeemer",Reverently,2,3,,,,,,,,,,,
104,"Jesus, Savior, Pilot Me",Prayerfully,2,3,,,,,,,,,,,
105,"Master, the Tempest Is Raging",Fervently,4,4,,,,,,,,,,,
106,God Speed the Right,Firmly,2,4,,,,,,,,,,,
107,"Lord, Accept Our True Devotion",Worshipfully,3,3,,,,,,,,,,,
108,The Lord Is My Shepherd,Peacefully,3,4,,,,,,,,,,,
109,The Lord My Pasture Will Prepare,Gently,2,3,,,,,,,,,,,
110,Cast Thy Burden upon the Lord,Smoothly,1,2,,,,,,,,,,,
111,Rock of Ages,With dignity,2,4,,,,,,,,,,,x
112,"Savior, Redeemer of My Soul",Worshipfully,3,3,,,,,,,,,,,
113,Our Savior’s Love,Reverently,3,5,,,,,,,,,,,x
114,Come unto Him,Thoughtfully,3,3,,,,,,,,,,,
115,"Come, Ye Disconsolate",Thoughtfully,3,2,,,,,,,,,,,
116,"Come, Follow Me",Humbly,4,5,,,,,,,,,,,x
117,Come unto Jesus,Gently,4,4,,,,,,,,,,,x
118,Ye Simple Souls Who Stray,Calmly,5,1,,,,,,,,,,,
119,"Come, We That Love the Lord",Joyfully,2,2,,,,,,,,,,,
120,Lean on My Ample Arm,Expressively,3,1,,,,,,,,,,,
121,"I’m a Pilgrim, I’m a Stranger",Thoughtfully,3,1,,,,,,,,,,,
122,Though Deepening Trials,Cheerfully,6,3,,,,,,,,,,,
123,"Oh, May My Soul Commune with Thee",Fervently,3,3,,,,,,,,,,,
124,"Be Still, My Soul*",Peacefully,4,4,,,,,,,,,,,
125,How Gentle God’s Commands,Gently,2,4,,,,,,,,,,,
126,"How Long, O Lord Most Holy and True",Solemnly,3,1,,,,,,,,,,,
127,Does the Journey Seem Long?,Gently,3,2,,,,,,,,,,,
128,When Faith Endures,Calmly,1,3,,,,,,,,,,,
129,Where Can I Turn for Peace?,Thoughtfully,3,4,,,,,,,,,,,
130,Be Thou Humble,Calmly,2,4,,,,,,,,,,,
131,More Holiness Give Me,Prayerfully,3,5,,,,,,,,,,,
132,God Is in His Holy Temple,Reverently,2,1,,,,,,,,,,,
133,Father in Heaven,Prayerfully,3,3,,,,,,,,,,,
134,I Believe in Christ,Fervently,5,5,,x,,,,,,,,,
135,My Redeemer Lives,Joyfully,2,3,,x,,,,,,,,,
136,I Know That My Redeemer Lives,Peacefully,4,5,,x,,,,,,,,,
137,Testimony,Thoughtfully,2,3,x,,,,,,,,x,,
138,"Bless Our Fast, We Pray",Fervently,3,2,x,,,,,,,,x,,
139,In Fasting We Approach Thee,Solemnly,2,2,x,,,,,,,,x,,
140,Did You Think to Pray?,Thoughtfully,3,5,,,,,,,,,,,
141,"Jesus, the Very Thought of Thee",Reverently,2,4,,,,,,,,,,,
142,Sweet Hour of Prayer,Prayerfully,3,4,,,,,,,,,,,x
143,Let the Holy Spirit Guide*,Gently,2,4,,,,,,,,,,,
144,Secret Prayer,Thoughtfully,3,4,,,,,,,,,,,
145,Prayer Is the Soul’s Sincere Desire,Peacefully,5,4,,,,,,,,,,,
146,Gently Raise the Sacred Strain,Worshipfully,4,4,,,,,,,,,,,
147,Sweet Is the Work,Fervently,4,4,,,,,,,,,,,
148,Sabbath Day,Thoughtfully,2,2,,,,,,,,,,,
149,As the Dew from Heaven Distilling,Earnestly,3,3,,,,,,,,,,,
150,O Thou Kind and Gracious Father,Reverently,2,2,,,,,,,,,,,
151,"We Meet, Dear Lord",Prayerfully,2,2,,,,,,,,,,,
152,God Be with You Till We Meet Again,Reverently,3,4,x,,,,,,,,,x,
153,"Lord, We Ask Thee Ere We Part",Prayerfully,2,3,x,,,,,,,,,x,
154,"Father, This Hour Has Been One of Joy",Reflectively,1,1,x,,,,,,,,,x,
155,We Have Partaken of Thy Love,Thoughtfully,2,2,x,,,,,,,,,x,
156,Sing We Now at Parting,Reverently,3,3,x,,,,,,,,,x,
157,"Thy Spirit, Lord, Has Stirred Our Souls",Fervently,2,3,x,,,,,,,,,x,
158,"Before Thee, Lord, I Bow My Head",Peacefully,4,2,x,,,,,,,,,x,
159,Now the Day Is Over,Calmly,2,2,x,,,,,,,,,x,
160,Softly Now the Light of Day,Calmly,1,1,x,,,,,,,,,x,
161,The Lord Be with Us,Fervently,2,2,x,,,,,,,,,x,
162,"Lord, We Come before Thee Now",Prayerfully,3,2,x,,,,,,,,,x,
163,"Lord, Dismiss Us with Thy Blessing",Thoughtfully,2,3,x,,,,,,,,,x,
164,"Great God, to Thee My Evening Song",Prayerfully,2,1,x,,,,,,,,,x,
165,Abide with Me; ’Tis Eventide,Prayerfully,4,4,,,,,,,,,,x,
166,Abide with Me!,Reverently,3,4,,,,,,,,,,x,
167,"Come, Let Us Sing an Evening Hymn",Calmly,4,1,x,,,,,,,,,x,
168,As the Shadows Fall,Prayerfully,1,1,x,,,,,,,,,x,
169,As Now We Take the Sacrament,With devotion,3,4,x,,,,,,,x,,,
170,"God, Our Father, Hear Us Pray",Worshipfully,2,3,x,,,,,,,x,,,
171,With Humble Heart,Prayerfully,3,3,x,,,,,,,x,,,
172,"In Humility, Our Savior",Meekly,3,4,x,,,,,,,x,,,
173,While of These Emblems We Partake,Reverently,3,4,x,,,,,,,x,,,
174,While of These Emblems We Partake,Fervently,3,4,x,,,,,,,x,,,
175,"O God, the Eternal Father",Worshipfully,4,4,x,,,,,,,x,,,
176,’Tis Sweet to Sing the Matchless Love,Reverently,3,3,x,,,,,,,x,,,
177,’Tis Sweet to Sing the Matchless Love,Reverently,3,4,x,,,,,,,x,,,
178,O Lord of Hosts,Prayerfully,3,2,x,,,,,,,x,,,
179,"Again, Our Dear Redeeming Lord",Reverently,3,2,x,,,,,,,x,,,
180,"Father in Heaven, We Do Believe",With conviction,3,3,x,,,,,,,x,,,
